release_id,n_for_sale,Have,Want,Avg Rating,Ratings,Last Sold,Lowest,Median,Highest,Generic,Poor (P),Fair (F),Good (G),Good Plus (G+),Very Good (VG),Very Good Plus (VG+),Near Mint (NM or M-),Mint (M)
410640,122,2696,47,3.62 / 5,112,25 Jul 24,$0.80,$4.97,$29.99,0.9,0.9,0.9,0.9,0.9,0.9,2.0,8.59,20.0
5824826,13,61,5,4.0 / 5,10,22 Dec 22,$1.12,$3.50,$5.62,2.85,2.85,2.85,2.85,2.85,2.85,2.85,7.0,13.3945
1759779,23,96,11,4.6 / 5,10,20 Aug 24,$1.83,$5.06,$10.00,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.96,3.75046
9119929,33,93,2,3.67 / 5,6,Never,--,--,--,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.73,12.0
1830229,42,1714,152,4.12 / 5,93,10 Sep 24,$0.99,$11.61,$35.00,1.5,3.79,3.79,3.79,4.0,5.0,13.38,39.18,74.97093
3013877,7,28,10,4.67 / 5,3,24 Jul 22,$5.00,$9.75,$14.99,3.99,3.99,3.99,3.99,3.99,7.95,8.0,12.0,22.962
6073137,24,102,4,4.5 / 5,6,21 Jul 24,$1.12,$8.94,$16.84,3.95,3.95,3.95,3.95,3.95,3.95,3.95,5.0,5.0
20498401,3,24,2,-- / 5,0,Never,--,--,--,4.99,4.99,4.99,4.99,4.99,4.99,14.0,14.0,26.789
26615510,0,0,0,-- / 5,0,Never,--,--,--,,,,,,,,,
4277186,18,139,28,4.17 / 5,6,28 Jan 23,$2.76,$6.16,$13.33,1.99,1.99,1.99,1.99,1.99,3.99,3.99,20.07,38.403945
2264669,64,4365,128,3.97 / 5,224,01 Sep 24,$0.24,$4.12,$17.80,1.49,2.0,2.0,2.0,2.26,3.75,5.99,30.54,167.91
10889264,2,22,0,5.0 / 5,1,08 Jul 24,$1.13,$3.49,$11.22,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0
9306315,1,3,0,-- / 5,0,Never,--,--,--,29.98,29.98,29.98,30.43064905113687,30.566576015072712,32.3930945929606,42.48567166519695,84.95435245990193,162.56015343202233
10333359,2,11,0,4.0 / 5,2,Never,--,--,--,15.0,15.0,15.0,15.0,15.0,15.0,15.49,15.49,29.640115
11767463,2,14,2,4.0 / 5,1,16 Feb 21,$4.00,$5.50,$6.99,8.0,8.0,8.0,8.0,8.0,8.0,8.0,16.79,16.79
3956181,4,67,12,4.0 / 5,4,05 Jun 24,$2.43,$4.00,$5.99,1.68,1.68,1.68,1.68,1.68,2.1,2.1,7.84,15.00184
1663167,87,1154,93,4.03 / 5,71,07 Aug 24,$1.09,$4.00,$13.00,1.99,1.99,1.99,1.99,1.99,2.99,3.72,8.99,25.0
10886681,2,19,2,-- / 5,0,02 Apr 24,$2.81,$6.52,$10.23,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,22.062655
3092389,55,476,22,4.57 / 5,23,25 Aug 24,$0.99,$2.64,$8.00,0.99,0.99,0.99,0.99,0.99,0.99,0.99,4.72,8.0
4049755,14,152,14,4.17 / 5,12,25 Aug 23,$0.97,$4.85,$10.00,2.0,2.0,2.0,2.0,2.0,2.0,2.5,7.99,15.288865
3732613,13,49,3,4.0 / 5,3,14 Oct 23,$2.00,$4.00,$6.40,2.35,2.35,2.35,2.35,2.35,2.35,3.16,5.0,9.567499999999999
3645290,12,181,16,4.75 / 5,8,26 Feb 24,$1.00,$4.25,$5.00,3.25,3.25,3.25,3.25,3.25,3.25,3.59,5.19,7.44
5725092,8,119,5,3.86 / 5,7,11 Jan 24,$1.75,$2.99,$9.99,2.49,2.49,2.49,2.49,2.49,2.49,2.49,6.64985372603542,12.724495104768776
15610281,4,41,10,4.67 / 5,3,12 May 24,$2.25,$4.00,$4.95,6.1,6.1,6.1,6.1,6.1,6.1,7.0,16.547897755648684,31.664402355433758
2446623,5,83,5,4.0 / 5,3,04 Aug 24,$1.70,$4.00,$6.00,3.66,3.66,3.66,3.66,3.66,3.66,4.5,10.014435799674239,19.162622902676656
3967668,13,129,4,3.75 / 5,8,20 Aug 23,$1.00,$4.00,$7.00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.09,9.739715
3742267,14,75,1,4.0 / 5,1,25 Jul 24,$0.99,$5.00,$8.00,2.22,2.22,2.22,2.22,2.22,2.22,3.18,4.48,8.57248
18143065,7,31,0,3.0 / 5,1,04 Oct 22,$8.21,$10.10,$12.00,3.99,3.99,3.99,3.99,3.99,7.0,7.0,10.83,20.723205
18855049,1,14,1,3.0 / 5,1,Never,--,--,--,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.654
2406644,25,442,15,4.04 / 5,23,14 Feb 24,$0.99,$4.99,$14.62,0.99,0.99,0.99,0.99,0.99,0.99,2.5,4.5,8.61075
4049077,21,254,13,4.0 / 5,13,08 Sep 24,$1.00,$2.86,$15.94,0.99,0.99,0.99,0.99,0.99,0.99,4.0,3.5037457808891315,6.704417551731353
11127602,3,32,0,-- / 5,0,18 Sep 23,$2.00,$7.67,$12.99,8.44,8.44,8.44,8.44,8.44,8.44,8.44,35.0,35.0
7080610,7,26,2,5.0 / 5,1,07 May 22,$1.50,$2.00,$9.99,5.0,5.0,5.0,5.0,5.0,5.0,5.5,35.0,35.0
6354059,6,37,1,-- / 5,0,27 Jun 22,$1.61,$7.50,$21.00,3.15,3.15,3.15,3.15,3.15,3.15,3.15,5.7,10.90695
5567132,12,57,4,4.67 / 5,3,17 Feb 23,$1.12,$1.50,$7.99,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.95,7.558325
5472655,5,124,22,4.09 / 5,11,04 Sep 24,$0.80,$4.00,$15.00,4.48,4.48,4.48,4.48,4.48,4.48,5.09,12.138646323003927,23.227299739068016
3736091,13,96,2,4.29 / 5,7,18 Nov 23,$1.00,$1.75,$7.49,2.66,2.66,2.66,2.66,2.66,2.66,2.81,5.0,36.0
8988193,5,50,4,3.67 / 5,3,23 Feb 22,$2.77,$2.77,$2.77,4.14,4.14,4.14,4.14,4.14,4.14,4.14,18.48,35.36148
7202707,5,37,4,4.5 / 5,2,14 Jul 24,$11.19,$11.19,$11.19,5.36,5.36,5.36,5.36,5.36,5.36,5.36,15.49,29.640115
4408439,20,97,3,5.0 / 5,3,06 Aug 24,$1.70,$5.75,$20.00,1.5,1.5,1.5,1.5,1.5,1.5,3.95,11.72,11.72
2502910,19,127,6,4.67 / 5,9,30 Apr 22,$1.00,$4.00,$8.00,2.68,2.68,2.68,2.68,2.68,2.99,2.99,5.0,9.567499999999999
4664731,13,139,2,4.5 / 5,2,04 Jan 24,$1.12,$3.50,$6.62,1.34,1.34,1.34,1.34,1.34,1.34,1.34,5.0,9.567499999999999
5912037,8,49,4,4.43 / 5,7,15 Apr 23,$1.27,$5.75,$9.22,2.5,2.5,2.5,2.5,2.5,2.5,6.99,17.95,17.95
5551123,20,124,10,4.0 / 5,2,11 Jan 24,$1.00,$2.00,$8.94,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,12.58
3712884,16,102,11,4.5 / 5,8,03 Oct 23,$1.72,$4.00,$8.50,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.1,9.758849999999999
3384117,41,447,28,4.33 / 5,24,07 Aug 24,$1.67,$6.15,$40.00,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.99,59.99
16137338,4,11,1,-- / 5,0,28 Apr 23,$2.25,$3.60,$4.94,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.98,15.269730000000001
4677896,15,101,3,4.33 / 5,6,05 Feb 24,$1.11,$1.50,$5.98,2.01,2.01,2.01,2.01,2.01,2.01,2.01,3.99,7.6348650000000005
2540656,28,248,10,4.36 / 5,14,09 Jun 24,$1.00,$2.74,$20.00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,14.32
7616898,17,95,8,4.2 / 5,5,31 Aug 23,$1.10,$4.25,$9.99,1.25,1.25,1.25,1.25,1.25,1.25,1.25,5.0,19.99
7761292,5,65,5,4.67 / 5,3,17 Sep 23,$0.99,$4.63,$6.99,2.63,2.63,2.63,2.63,2.63,2.63,2.63,7.0237410841257635,13.439928564474648
4402002,28,113,6,4.0 / 5,3,15 Nov 23,$1.12,$2.16,$5.98,0.99,0.99,0.99,0.99,0.99,0.99,1.75,6.49,9.0
7929861,11,79,4,5.0 / 5,2,23 Nov 22,$1.50,$2.75,$5.00,1.96,1.96,1.96,1.96,1.96,1.96,1.99,6.7,12.820450000000001
3415321,21,136,8,4.44 / 5,9,26 Nov 23,$1.00,$5.92,$10.56,2.97,2.97,2.97,2.97,2.97,2.97,4.0,7.82,14.96357
3936473,14,106,4,4.5 / 5,6,08 Feb 23,$1.50,$4.79,$13.33,1.68,1.68,1.68,1.68,1.68,1.68,3.99,4.25,8.132375
8100819,7,42,0,-- / 5,0,06 Jun 23,$0.99,$1.50,$2.00,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.567499999999999
3914446,9,66,12,4.0 / 5,1,14 Apr 23,$2.25,$7.25,$11.12,7.0,7.0,7.0,7.0,7.0,7.0,9.19,9.99,19.115865
8905199,7,55,6,4.33 / 5,3,26 Aug 24,$1.12,$4.00,$19.99,5.0,5.0,5.0,5.0,5.0,5.0,6.49,15.45,29.563574999999997
3417254,25,90,9,4.14 / 5,7,23 Sep 24,$1.12,$5.10,$9.99,1.85,1.85,1.85,1.85,1.85,1.85,4.0,6.78,19.99
7060584,15,89,1,4.0 / 5,1,02 Jan 24,$1.10,$4.00,$8.12,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.99,7.71
3419353,23,92,6,3.4 / 5,5,21 Aug 22,$1.10,$2.00,$10.00,1.5,1.5,1.5,1.5,1.5,1.5,1.5,11.91,22.789785
3758527,13,119,12,5.0 / 5,1,27 Aug 24,$0.99,$3.75,$16.00,2.13,2.13,2.13,2.13,2.13,2.13,2.13,7.5,13.3
2447927,17,66,3,4.0 / 5,1,31 Aug 24,$1.00,$5.62,$10.00,3.36,3.36,3.36,3.36,4.9,4.9,5.19,9.99,16.06
7082454,10,102,7,4.86 / 5,7,05 Nov 23,$1.90,$4.75,$9.99,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.95,9.471825
9472615,3,36,4,-- / 5,0,18 Jun 24,$1.12,$3.11,$19.99,2.5,2.5,2.5,2.5,2.5,2.5,3.95,7.0907628396099875,13.568174693593711
5878933,25,76,14,4.75 / 5,4,02 Apr 24,$2.22,$12.62,$21.95,3.01,3.01,3.01,3.01,3.01,3.01,4.22,7.44,14.95
3931776,18,80,3,3.75 / 5,4,12 Mar 23,$3.00,$6.50,$10.00,3.0,3.0,3.0,3.0,3.0,3.0,4.0,12.0,22.962
3984231,5,45,6,4.5 / 5,2,04 Dec 22,$2.00,$5.61,$7.90,2.75,2.75,2.75,2.75,2.75,2.75,4.99,4.99,19.99
7048912,5,51,1,3.0 / 5,1,28 Aug 17,$5.62,$5.62,$5.62,4.49,4.49,4.49,4.49,4.49,4.49,4.5,11.993958270297465,22.9504391502142
5897682,8,52,5,4.5 / 5,2,19 Oct 23,$1.93,$8.99,$25.00,4.99,4.99,4.99,4.99,7.99,7.99,7.99,25.0,25.0
3692327,6,147,13,3.6 / 5,5,20 Apr 24,$1.00,$7.00,$9.99,5.56,5.56,5.56,5.56,5.56,5.56,5.56,14.848669364159408,28.412928828319025
5641432,4,69,6,3.25 / 5,8,19 Sep 23,$1.50,$10.00,$17.83,5.99,5.99,5.99,5.99,5.99,5.99,8.0,49.25,94.239875
3738831,16,75,1,3.33 / 5,3,23 Mar 24,$1.69,$5.00,$5.00,1.5,1.5,1.5,1.5,1.5,1.5,4.1,4.1,7.845349999999999
5439517,14,182,10,4.38 / 5,8,04 Jun 24,$1.99,$8.99,$24.99,2.69,2.69,2.69,2.69,2.69,5.7,5.7,19.95,38.174324999999996
2459018,17,169,10,4.14 / 5,7,29 Aug 24,$0.99,$3.37,$12.00,1.12,1.12,1.12,1.12,1.12,1.12,1.12,14.61,27.956235
5225684,12,120,19,3.83 / 5,12,25 Mar 24,$2.81,$9.16,$15.54,3.61,3.61,3.61,3.61,3.61,3.61,5.0,17.62,33.71587
7695174,33,193,7,4.33 / 5,9,22 Jul 24,$1.13,$4.00,$14.27,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,10.0
3307093,21,133,7,4.67 / 5,6,06 Sep 23,$1.12,$4.98,$12.00,1.54,1.54,1.54,1.54,1.54,1.54,1.54,4.99,9.548365
5754474,14,50,2,3.25 / 5,4,13 Feb 23,$1.12,$4.99,$9.00,1.99,1.99,1.99,1.99,1.99,2.75,2.75,5.816381344701708,11.129645703086718
12310285,13,114,9,4.0 / 5,7,12 Aug 24,$1.70,$5.96,$42.50,13.0,14.14,14.14,14.14,14.14,14.14,14.9,20.0,35.3
3181594,9,170,15,4.33 / 5,3,16 Jan 24,$3.50,$6.99,$25.00,2.97,2.97,2.97,2.97,2.97,6.0,7.5,10.360994265510094,19.825762527053563
11142642,4,31,1,-- / 5,0,14 Nov 23,$3.00,$8.54,$8.99,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.567499999999999
15158410,4,12,1,-- / 5,0,Never,--,--,--,2.71,2.71,2.71,2.71,2.71,2.71,7.0,8.462860194910443,16.193682982961132
4886301,11,84,3,3.8 / 5,5,29 Jun 22,$1.69,$5.00,$6.62,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.29,8.208915
2751245,4,521,34,4.06 / 5,31,25 Jul 24,$4.38,$9.07,$15.00,7.44,7.44,7.44,7.44,7.44,7.44,20.0,23.45729631631534,44.8855365012694
13671361,4,45,19,5.0 / 5,2,11 Apr 23,$38.00,$49.00,$61.80,15.0,15.0,15.0,15.0,15.0,38.0,50.0,58.67449705792698,112.27365012034328
12385673,9,97,1,5.0 / 5,1,Never,--,--,--,1.02,1.02,1.02,1.02,1.02,1.02,4.47,11.91,22.789785
1441069,149,9782,469,4.38 / 5,620,20 Sep 24,$2.00,$12.00,$27.99,2.74,2.74,7.05,7.05,10.25,10.25,15.0,39.18,74.97093
1294404,91,17888,1096,4.41 / 5,1164,14 Sep 24,$5.00,$15.39,$79.95,3.5,3.5,3.5,8.0,8.0,9.99,14.14,49.99,70.0
10202869,0,0,0,-- / 5,0,25 Feb 23,$5.00,$13.00,$14.99,,,,,,,,,
3142046,38,194,6,4.08 / 5,13,25 Oct 23,$1.13,$5.42,$19.99,1.12,1.12,1.12,1.12,1.12,1.12,1.12,2.5,4.7837499999999995
8480433,28,78,1,4.5 / 5,2,17 Jan 22,$5.00,$5.83,$6.66,2.13,2.13,2.13,2.13,2.13,2.13,2.13,3.36,6.42936
10379483,10,48,2,4.0 / 5,1,13 Sep 24,$2.30,$5.06,$11.12,1.79,1.79,1.79,1.79,1.79,1.79,1.79,5.6,10.715599999999998
4898478,15,35,7,4.4 / 5,5,05 Aug 23,$14.00,$19.44,$19.44,3.3,3.3,3.3,3.3,3.3,3.3,3.3,13.32,25.48782
6712336,6,66,6,-- / 5,0,12 Jul 24,$3.33,$10.56,$25.88,10.0,10.0,10.0,10.0,10.0,10.0,11.19,12.97,24.818095
6118965,62,410,16,4.05 / 5,21,29 May 24,$1.05,$5.00,$16.66,1.68,1.68,1.68,1.68,1.68,1.68,1.68,3.45,10.07
5727379,14,85,11,4.33 / 5,6,20 Sep 24,$1.12,$6.58,$11.11,2.66,2.66,2.66,2.66,2.66,2.66,2.66,6.16,12.22
3835490,35,134,8,4.33 / 5,9,25 Sep 24,$1.00,$4.99,$8.88,2.01,2.01,2.01,2.01,2.01,2.01,2.01,3.92,13.99
2489923,33,183,9,4.25 / 5,12,13 Sep 24,$1.52,$5.00,$13.13,1.34,1.34,1.34,1.34,1.34,1.34,1.43,1.43,4.99
2385986,28,132,5,4.8 / 5,5,06 Dec 23,$1.82,$6.46,$13.27,2.85,2.85,2.85,2.85,2.85,2.85,2.85,5.58,18.92
2489931,27,112,7,4.33 / 5,9,06 Dec 23,$1.99,$4.75,$21.35,3.79,3.79,3.79,3.79,3.79,3.79,3.79,6.99,21.67
2489948,21,99,10,4.0 / 5,7,16 Nov 23,$3.90,$8.93,$20.00,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,10.88
2466971,25,111,8,4.57 / 5,7,07 Apr 24,$2.06,$6.00,$10.00,1.33,1.33,1.33,1.33,1.33,1.33,1.33,2.85,13.81
2489960,27,104,6,4.2 / 5,5,25 Feb 24,$2.88,$7.30,$25.00,2.22,2.22,2.22,2.22,2.22,2.22,4.48,4.48,23.75
3254358,29,122,8,4.5 / 5,6,25 Aug 24,$1.00,$6.00,$13.48,1.34,1.34,1.34,1.34,1.34,1.34,3.72,6.99,15.47
2489992,17,80,12,3.5 / 5,4,25 Jan 24,$1.12,$5.94,$14.55,2.81,2.81,2.81,2.81,2.81,2.81,2.81,8.94,16.79
3723607,30,140,7,4.14 / 5,7,09 Jun 24,$1.31,$5.00,$29.10,3.36,3.36,3.36,3.36,3.36,3.36,3.36,8.4,60.0
7385124,17,75,0,4.75 / 5,4,24 Jun 24,$2.03,$6.98,$11.99,3.25,3.25,3.25,3.25,3.25,3.25,3.36,9.99,9.99
3235523,16,71,7,4.0 / 5,6,25 May 24,$0.93,$5.42,$15.00,4.99,4.99,4.99,4.99,4.99,4.99,4.99,10.63,20.340505
4353605,9,20,5,4.5 / 5,2,30 Jun 24,$1.12,$9.00,$18.00,5.0,5.0,5.0,5.0,5.0,5.05,6.69,11.19,21.412065
5762294,15,42,5,5.0 / 5,1,30 Mar 23,$6.67,$8.43,$11.22,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,12.801315
3344789,21,71,4,4.0 / 5,5,30 Jun 24,$1.93,$4.96,$7.99,1.47,1.47,1.47,1.47,1.47,3.47,4.95,5.04,44.76
4354315,10,65,14,5.0 / 5,3,05 Jul 24,$3.88,$5.44,$9.99,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,8.61075
3242728,23,99,7,3.5 / 5,4,08 Feb 24,$1.00,$6.10,$13.33,2.79,2.79,2.79,2.79,2.79,2.79,2.79,4.85,9.280475
453773,434,3690,125,3.78 / 5,216,03 Sep 24,$0.16,$2.70,$11.13,0.4,0.4,0.4,0.4,0.4,0.4,0.66,3.35,29.44
5071205,16,419,39,3.89 / 5,9,19 Aug 24,$1.90,$4.22,$11.00,2.59,2.79,2.79,2.79,2.79,2.79,2.79,4.37,8.361995
11971506,15,3075,57,3.96 / 5,51,17 Jul 24,$0.74,$3.98,$20.52,2.0,2.0,2.0,4.46,4.46,4.46,4.46,10.5,20.09175
464570,36,7556,1373,4.31 / 5,465,13 Sep 24,$3.00,$14.47,$99.95,2.0,2.0,4.0,4.0,5.85,14.99,55.0,100.0,191.35
1207335,70,1520,60,3.87 / 5,75,05 Jul 24,$0.75,$3.11,$20.22,1.5,1.5,1.5,1.5,1.99,1.99,4.0,33.46,64.02571
2914360,12,319,27,4.58 / 5,19,17 Jul 23,$5.00,$11.99,$44.00,5.98,5.98,5.98,8.96,8.96,8.96,8.96,12.0,22.962
3272342,14,72,9,4.44 / 5,9,09 Sep 23,$2.25,$7.99,$14.00,2.99,2.99,2.99,2.99,2.99,2.99,2.99,8.98,10.88
1406892,31,6045,920,4.43 / 5,371,02 Aug 24,$1.96,$16.80,$55.54,1.89,1.89,10.0,10.0,10.0,10.0,29.01,39.99,76.520865
856308,47,842,48,3.98 / 5,50,25 Aug 24,$2.99,$5.03,$18.00,1.93,1.93,1.93,1.93,1.93,2.23,4.99,8.96,17.14496
3243866,11,31,5,4.5 / 5,2,Never,--,--,--,3.99,3.99,3.99,3.99,3.99,3.99,4.15,10.07,19.268945
3617411,5,51,47,4.0 / 5,3,17 Jul 24,$4.12,$12.99,$33.32,9.99,9.99,9.99,9.99,9.99,9.99,14.5,27.96784738955073,53.51647597990532
2292929,117,1133,79,3.98 / 5,80,21 Aug 24,$1.75,$5.00,$44.95,1.5,1.5,1.5,1.5,1.5,2.25,2.99,6.0,11.481
6593501,10,47,21,3.8 / 5,5,18 May 24,$5.62,$11.01,$32.58,6.49,6.49,6.49,6.49,6.49,6.49,6.49,9.0,17.2215
8214433,10,50,7,-- / 5,0,03 Apr 24,$3.46,$10.00,$12.00,4.95,4.95,4.95,4.95,4.95,4.95,4.95,11.19,21.412065
3873246,22,274,75,4.55 / 5,20,05 Sep 24,$8.00,$22.69,$33.71,20.0,20.0,20.0,20.0,20.0,20.0,20.0,25.74,30.22
5701657,11,377,250,4.48 / 5,25,16 May 24,$24.00,$43.56,$85.00,20.0,20.0,20.0,20.0,20.0,38.0,39.18,65.63523018665401,125.59301296216245
5459425,19,87,27,4.0 / 5,2,01 Mar 24,$3.00,$7.00,$24.00,6.72,6.72,6.72,6.72,6.72,6.72,9.55,15.0,28.7025
3410571,63,1363,124,4.1 / 5,79,10 Aug 24,$1.46,$8.00,$30.00,1.89,1.89,1.89,1.89,1.89,1.99,9.93,7.381628667104567,14.124746454504589
1039597,8,801,370,3.88 / 5,41,18 Jul 24,$16.67,$39.99,$78.95,20.0,20.0,20.0,20.0,20.0,20.0,20.0,53.41247972719212,102.20477995798213
1702258,24,783,52,4.0 / 5,19,17 Sep 24,$0.77,$2.71,$16.85,1.69,1.69,1.69,1.69,1.69,1.69,4.0,5.173222563342455,9.898961374955789
31512500,0,0,0,-- / 5,0,Never,--,--,--,,,,,,,,,
3311227,22,112,17,4.33 / 5,3,14 Sep 24,$0.30,$4.67,$15.27,1.75,1.75,1.75,1.75,1.75,1.75,1.81,5.0,10.88
19781707,2,5,1,-- / 5,0,Never,--,--,--,17.99,17.99,17.99,17.99,17.99,17.99,17.99,48.04452551460931,91.93319957220491
4661300,25,108,1,3.36 / 5,11,29 Feb 24,$1.00,$7.75,$33.32,2.86,2.86,2.86,2.86,2.86,2.86,3.0,11.45,11.45
13591645,2,30,21,5.0 / 5,2,08 Jun 23,$5.00,$8.53,$20.00,14.98,14.98,14.98,14.98,14.98,14.98,14.98,40.0059473156669,76.55138018852861
1424661,29,4733,1255,4.42 / 5,351,14 Sep 24,$3.96,$21.00,$99.99,16.0,16.0,16.0,16.0,16.0,29.99,69.0,63.11128011999082,120.76343450960243
15750664,3,13,0,4.0 / 5,1,Never,--,--,--,14.99,14.99,14.99,14.99,14.99,14.99,38.99,46.888425258332795,89.7210017318198
1827614,39,183,6,4.0 / 5,8,24 May 24,$1.12,$2.99,$8.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.1,9.758849999999999
3886444,37,128,5,-- / 5,0,08 Mar 24,$0.70,$2.18,$5.00,0.54,0.54,0.54,0.54,0.54,0.98,0.98,2.0,5.96
15416876,5,217,122,4.89 / 5,9,19 Jul 24,$9.00,$20.00,$28.43,10.0,10.0,10.0,10.0,10.0,10.0,26.38,31.385304050758627,60.055779301126634
16831041,5,24,5,4.0 / 5,1,16 Mar 23,$1.50,$1.50,$1.50,0.75,0.75,0.75,0.75,0.75,0.75,3.96,5.56,10.639059999999999
4068367,13,63,0,4.22 / 5,9,06 Aug 24,$1.50,$4.99,$8.00,2.97,2.97,2.97,2.97,3.95,3.95,4.0,5.99,11.461865
4748868,24,187,3,4.44 / 5,18,06 Jun 24,$1.10,$3.00,$45.00,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.36,27.5
5717774,40,322,24,4.5 / 5,20,27 Jul 24,$2.53,$7.50,$32.94,3.36,3.36,3.36,3.36,3.36,3.36,4.01,5.6,10.715599999999998
3020857,14,100,4,3.75 / 5,4,08 Jul 24,$1.00,$7.00,$25.00,0.61,0.61,0.61,0.61,0.61,0.61,3.0,6.62,12.66737
5169378,8,78,21,3.0 / 5,2,04 Feb 24,$0.99,$2.95,$19.99,1.02,1.02,1.02,1.02,1.02,1.02,4.0,4.48,8.57248
11386134,1,50,3,4.0 / 5,3,20 Jan 22,$4.99,$5.00,$6.00,4.59,4.625297636001139,4.625297636001139,4.682819709484477,4.703736827114781,4.984810595272001,6.537906579322129,13.07319851894047,25.01556536599259
