record_label,catalog_number,artist,album,image
London,STS 15027,The Weller Quartet,"Berg String Quartet Op. 3 / Shostakovich String Quartet No. 10, Op. 118",records/135/PXL_20240925_023808864.jpg
Musical Heritage Society,MHS 1649,Manuel de Falla,El Amor Brujo / Nights in the Gardens of Spain,records/135/PXL_20240925_023815077.jpg
Musical Heritage Society,MHS 1509,Maurice Duruflé,Requiem,records/135/PXL_20240925_023820723.jpg
RCA Victor,LSC-2251,Chicago Symphony Orchestra / Fritz Reiner,Mysterious Mountain / Divertimento from The Fairy's Kiss,records/135/PXL_20240925_023827098.jpg
Columbia,,"Michael Tilson Thomas, London Symphony Orchestra",Beethoven Late Choral Music,records/135/PXL_20240925_023834722.jpg
,CE 1048,"Lanoue Davenport, Martha Bixler",Solo Music from the Eighteenth Century,records/135/PXL_20240925_023841659.jpg
Angel,SZ-37899,Itzhak Perlman,The Spanish Album,records/135/PXL_20240925_023847612.jpg
Musical Heritage Society,MHS 1511,Wolfgang Amadeus Mozart,"Concerto No. 4 in D Major, K. 218 / Concerto No. 3 in G Major, K. 216",records/135/PXL_20240925_023853669.jpg
Nonesuch,H-71011,Joseph Haydn,"Symphony No. 21 in A Major, Symphony No. 48 in C Major ('Maria Theresia'), Symphony No. 82 in C Major ('L'Ours')",records/135/PXL_20240925_023859648.jpg
Nonesuch,H-71065,Georg Philipp Telemann,Sonata in D Minor / Trio in E Minor / Trio in D Major / Sonata for Oboe & Harpsichord in E Flat Major,records/135/PXL_20240925_023906059.jpg
Turnabout,TV 37038,George Frideric Handel,"Sonatas for Violin & Continuo Op. 1 Nos. 3, 10, 12, 13, 14, 15",records/135/PXL_20240925_023912580.MP.jpg
Musical Heritage Society,MHS 1485,Georg Philipp Telemann,Five Trio Sonatas,records/135/PXL_20240925_023918643.jpg
Columbia,,"Leonard Bernstein, Janet Baker",Kindertotenlieder / Symphony No. 10 (Adagio),records/135/PXL_20240925_023925885.jpg
Melodiya,SR-40067,Igor Oistrakh,French Music for Violin and Orchestra,records/135/PXL_20240925_023931993.jpg
Nonesuch,H-71036,"Camerata Musicale, Berlin",Trio Sonatas of the Late Baroque,records/135/PXL_20240925_023938094.jpg
Decca Jubilee,,Iona Brown,Mozart Violin Concertos,records/135/PXL_20240925_023944595.jpg
Columbia Masterworks,,"Watts, Ozawa, New York Philharmonic",Rachmaninoff Piano Concerto No. 3,records/135/PXL_20240925_023950812.jpg
Melodiya,,Gliere,"Symphony No. 3 in B Minor, Op. 42 'Ilya Murometz'",records/135/PXL_20240925_023957516.jpg
Angel Records,,"Herbert von Karajan, Philharmonia Orchestra",Pictures at an Exhibition,records/135/PXL_20240925_024003750.jpg
Musical Heritage Society,MHS 1800,Wolfgang Amadeus Mozart,Four Concertos for Horn,records/135/PXL_20240925_024009812.jpg
RCA Victor Red Seal,LSC-2683,Tchaikovsky / Boston Symphony / Munch,Pathetique Symphony,records/135/PXL_20240925_024016070.jpg
Vanguard,VSD-2126,"I Solisti di Zagreb, Antonio Janigro, Conductor","Notturno: Airs, Dances, Fantasies and Serenades",records/135/PXL_20240925_024022506.jpg
Philips,,"London Symphony Orchestra & Chorus, Colin Davis",Berlioz Te Deum,records/135/PXL_20240925_024028370.jpg
Turnabout Vox,TV 34215,Hindemith,Mathis der Maler / Symphonic Metamorphoses,records/135/PXL_20240925_024034485.jpg
Mercury,SR90172,Richard Strauss,Der Rosenkavalier Suite / Till Eulenspiegel's Merry Pranks,records/135/PXL_20240925_024040481.jpg
