Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Collection Batch,Collection Verified,Collection Family
"SP-3704, SP3704",Joan Baez,From Every Stage,"A&M Records, A&M Records","2xLP, Album, Ter",,1976,410640,Name Match,2024-09-15 18:51:34,,,,1000,,
ABCL-67006,Sylvius Leopold Weiss / David Kellner / Johann Sebastian Bach - Eugen M. Dombois,Die Barocklaute I / The Baroque Lute I / Le Luth Baroque I,ABC Classics (2),LP,,1976,5824826,Record Label Match,2024-09-19 20:55:28,,,,127,yes,
ABCL-67009,Antoine Forqueray - Gustav Leonhardt,Pièces De Clavecin,ABC Classics (2),"LP, Album",,1976,1759779,Record Label Match,2024-09-19 20:53:05,,,,126,yes,
CLS-67001,Various,ABC Classics The First Release (Seon Series),ABC Classics (2),"LP, Album, Comp",,1976,9119929,Record Label Match,2024-09-25 11:01:45,,,,145,yes,
DSY-50190/2,B.B. King & Bobby Bland,Together For The First Time... Live,ABC Dunhill,"2xLP, Album, San",,1974,1830229,Record Label Match,2024-09-18 20:34:59,,,,108,yes,tiger
ABC-ATS-20005,Carlos Barbosa-Lima,Barbosa-Lima In A Scarlatti Guitar Recital,ABC Records,LP,,1970,3013877,Catalog Number Match,2024-09-25 07:07:52,,,,133,yes,mom
ABC/S-614,Sabicas,Artistry In Flamenco,ABC Records,LP,,1968,6073137,Catalog Number Match,2024-09-18 21:45:18,,,,114,yes,
ABCS-739,Carlos Montoya,Sixteen Immortal Performances: Gypsy Flamenco,ABC Records,"LP, Promo",,1971,20498401,Manual Match,2024-09-18 21:03:25,,,,108,yes,
WGM-8245,"Antonín Dvořák, Mstislav Rostropovich, Большой Симфонический Оркестр Всесоюзного Радио, Boris Khaikin","Concerto For Cello & Orchestra In B Minor, Op. 104",ABC Westminster Gold,LP,,1973,26615510,Manual Match,2024-09-20 20:09:46,,,,123,yes,
WGS-8276,Olivier Messiaen,Petites Liturgies / De La Présence Divine,ABC Westminster Gold,"LP, RE",,1974,4277186,Record Label Match,2024-09-25 10:05:55,,,,142,yes,
"ABCS-415, ABCS 415",Ray Charles,Greatest Hits,"ABC-Paramount, ABC-Paramount","LP, Comp, Pit",,1962,2264669,Catalog Number Match,2024-09-18 20:32:57,,,,107,yes,tiger
S-5094,Various,The Golden Age Of Baroque,Alshire,"LP, Comp",,1968,10889264,Manual Match,2024-09-25 22:29:54,,,,116,yes,
CL2118,Georg Philipp Telemann,The Faithful Musicmaster Volume Two,Amphion,"LP, Album",,0,9306315,Manual Match,2024-09-25 08:01:00,,,,136,yes,
CL2147,"Georg Philipp Telemann, Telemann Society Orchestra, Theodora Schulze, Richard Schulze",Music For Orchestra And Ensemble,Amphion,LP,,0,10333359,Manual Match,2024-09-18 22:44:03,,,,115,yes,
35066,"Claude Debussy, Walter Gieseking",Preludes Book One,Angel Records,"LP, Album, RE, Sun",,0,11767463,Manual Match,2024-09-25 07:00:05,,,,132,yes,
36271,"Anton Bruckner - Otto Klemperer, New Philharmonia Orchestra",Symphony No. 6 In A,Angel Records,LP,,1965,3956181,Catalog Number Match,2024-09-15 19:33:55,,,,104,,
36418,Yehudi Menuhin • Ravi Shankar,West Meets East,Angel Records,"LP, Album, Blu",,1967,1663167,Catalog Number Match,2024-09-18 21:38:56,,,,111,yes,
AM-34763,"Anton Bruckner, Herbert von Karajan, Berliner Philharmoniker",Sinfonie Nr. 7 / Symphony No. 7,Angel Records,"LP, Album, RE",,1986,10886681,Record Label Match,2024-09-19 20:58:05,,,,129,yes,
DS-37327,"Claude Bolling, Angel Romero (2) & George Shearing",Claude Bolling: Concerto For Classic Guitar And Jazz Piano,Angel Records,"LP, Album, Dig",,1980,3092389,Catalog Number Match,2024-09-19 20:54:53,,,,127,yes,
DS-37335,Christopher Parkening,Sacred Music For The Guitar,Angel Records,"LP, Album, KM ",,1982,4049755,Manual Match,2024-09-25 16:19:40,,,,115,yes,
DS-37760,"Klaus Tennstedt, Berliner Philharmoniker, Felix Mendelssohn-Bartholdy, Robert Schumann","Symphony No. 4 In A, Op. 90 (""Italian"") / Symphony No. 4 In D Minor",Angel Records,"LP, Album",,0,3732613,Manual Match,2024-09-25 22:56:45,,,,113,yes,
S 35430,"Modest Mussorgsky - Maurice Ravel / Herbert Von Karajan, Philharmonia Orchestra",Pictures At An Exhibition,Angel Records,"LP, Album",,0,3645290,Record Label Match,2024-09-25 07:47:20,,,,135,yes,
S 35881,Felix Mendelssohn-Bartholdy,"Incidental Music To ""A Midsummer Night's Dream""",Angel Records,"LP, RP",,1965,5725092,Catalog Number Match,2024-09-25 10:30:54,,,,144,yes,
S 36101,"Ralph Vaughan Williams / Sir Edward Elgar, Sinfonia Of London, The Allegri String Quartet, Sir John Barbirolli",Fantasia On A Theme By Tallis - Fantasia on Greensleeves / Introduction And Allegro For String Quartet And String Orchestra - Serenade in E Minor,Angel Records,LP,,1963,15610281,Catalog Number Match,2024-09-19 20:58:38,,,,129,yes,
S 36282,Johann Sebastian Bach / Sylvius Leopold Weiss / Girolamo Frescobaldi / John Dowland / Manuel De Falla / Manuel María Ponce Cuéllar / Heitor Villa-Lobos - Oscar Ghiglia,Guitar Music Of Four Centuries,Angel Records,"LP, Album",,1965,2446623,Catalog Number Match,2024-09-25 07:08:14,,,,133,yes,
S 36330,"Sir Edward Elgar - Yehudi Menuhin, Sir Adrian Boult, New Philharmonia Orchestra","Violin Concerto In B Minor, Op. 61",Angel Records,"LP, Album",,1966,3967668,Catalog Number Match,2024-09-15 18:51:22,,,,103,,
S-36013,The Roger Wagner Chorale,Echoes From A 16th Century Cathedral,Angel Records,"LP, Album",,0,3742267,Catalog Number Match,2024-09-25 09:28:51,,,,140,yes,
S-36019,Christopher Parkening,In The Classic Style,Angel Records,"LP, Album",,1968,18143065,Manual Match,2024-09-25 16:17:25,,,,115,yes,mom
S-36022,Giovanni Pierluigi da Palestrina / Tomás Luis De Victoria - The Roger Wagner Chorale Conducted By Roger Wagner,Pope Marcellus Mass / Three Motets,Angel Records,"LP, Album",,1969,18855049,Manual Match,2024-09-25 06:22:35,,,,131,yes,
S-36041,Christopher Parkening,Parkening Plays Bach,Angel Records,"LP, Album, RE",,0,2406644,Record Label Match,2024-09-18 21:50:29,,,,115,,
S-36053,Christopher Parkening,Parkening And The Guitar,Angel Records,"LP, Album, RE, Nor",,0,4049077,Record Label Match,2024-09-18 21:50:35,,,,115,,
S-36097,Johann Sebastian Bach - Igor Kipnis,"The Partitas for Harpsichord, No. 1 in B Flat / No. 2 in C Minor",Angel Records,LP,,1977,11127602,Name Match,2024-09-19 20:51:24,,,,125,yes,
S-36098,Johann Sebastian Bach - Igor Kipnis,The Partitas For Harpsichord No.3 In Minor • No.4 In D ,Angel Records,"LP, Album",,1977,7080610,Record Label Match,2024-09-25 10:04:54,,,,142,yes,
S-36099,Johann Sebastian Bach - Igor Kipnis,The Partitas For Harpsichord No. 5 In G · No. 6 In E Minor,Angel Records,LP,,1979,6354059,Record Label Match,2024-09-18 21:46:35,,,,114,,
S-36456,"Janet Baker / John Dowland • Thomas Arne • Henry Purcell • William Boyce • Ralph Vaughan Williams • Charles Hubert Hastings Parry • Benjamin Britten • Peter Warlock • Roger Quilter / Gerald Moore, Robert Spencer (2), Martin Isepp, Ambrose ",A Treasury Of English Songs,Angel Records,LP,,0,5567132,Record Label Match,2024-09-19 20:57:42,,,,128,yes,
S-36469,"Ralph Vaughan Williams, Sir Adrian Boult, New Philharmonia Orchestra, Hugh Bean",Symphony No. 6 In E Minor / The Lark Ascending (Romance For Violin And Orchestra),Angel Records,"LP, Album",,1968,5472655,Catalog Number Match,2024-09-19 20:58:34,,,,129,yes,
S-36478,"Ralph Vaughan Williams : Sir John Barbirolli, Hallé Orchestra",A London Symphony,Angel Records,"LP, Album",,1968,3736091,Catalog Number Match,2024-09-19 20:59:25,,,,129,yes,
S-36496,"Joaquín Rodrigo / Mauro Giuliani (2) - Alirio Díaz Members Of Orquesta Nacional De España, Rafael Frühbeck De Burgos","Concierto De Aranjuez For Guitar & Orchestra - Concerto In A For Guitar, Strings & Timpani",Angel Records,"LP, Album",,1979,8988193,Manual Match,2024-09-25 08:21:17,,,,137,yes,
S-36507,Maurice Duruflé & Marie-Madeleine Duruflé-Chevalier,Bach Organ Music From Soissons Cathedral,Angel Records,"LP, Album, RP",,1970,7202707,Manual Match,2024-09-20 21:24:46,,,,128,yes,
S-36528,"Marc Antoine Charpentier, Henry Purcell, The King's College Choir Of Cambridge • David Willcocks",Midnight Mass For Christmas Eve / Te Deum,Angel Records,"LP, Album, RP",,1975,4408439,Record Label Match,2024-09-25 09:13:59,,,,139,yes,
S-36532,Ralph Vaughan Williams - Sir Adrian Boult Conducting New Philharmonia Orchestra,Pastoral Symphony (No. 3) / In The Fen Country (Symphonic Impression),Angel Records,"LP, RE",,0,2502910,Record Label Match,2024-09-19 20:59:30,,,,129,yes,
S-36590,Ralph Vaughan Williams / The King's College Choir Of Cambridge And English Chamber Orchestra Conducted By David Willcocks,"Mass In G Minor, Five Mystical Songs, Motet: O Clap Your Hands",Angel Records,"LP, Album, RP",,1982,4664731,Record Label Match,2024-09-19 20:58:00,,,,129,yes,
S-36696,"Ludwig van Beethoven / Cristina Deutekom, Nicolai Gedda, Hans Sotin, Volker Wangenheim",Christ On The Mount Of Olives,Angel Records,"LP, Album",,1971,5912037,Record Label Match,2024-09-19 20:48:29,,,,124,yes,
S-36698,"Ralph Vaughan Williams - Sir Adrian Boult, London Philharmonic Orchestra",Serenade To Music / Symphony No. 5 In D (1943) ,Angel Records,"LP, RP",,0,5551123,Record Label Match,2024-09-19 20:59:20,,,,129,yes,
S-36699,"Ralph Vaughan Williams, John Westbrook, Cecil Aronowitz, The King's College Choir Of Cambridge, The Jacques Orchestra, David Willcocks",An Oxford Elegy / Five Variants Of 'Dives And Lazarus' / Flos Campi,Angel Records,"LP, Album",,1970,3712884,Record Label Match,2024-09-19 20:58:15,,,,129,yes,
S-36727,"David Oistrach, Mstislav Rostropovich, Sviatoslav Richter, Herbert von Karajan, Berliner Philharmoniker, Ludwig van Beethoven","The ""Triple"" Concerto In C",Angel Records,"LP, Album",,1970,3384117,Record Label Match,2024-09-15 19:32:33,,,,104,yes,
S-36742,"Ralph Vaughan Williams, Sir Adrian Boult, London Philharmonic Orchestra & London Philharmonic Choir, Peter Katin",Symphony No. 9 In E Minor (1958) / Fantasia On The 'Old 104th' Psalm Tune,Angel Records,"LP, RE",,0,16137338,Record Label Match,2024-09-19 20:59:36,,,,129,yes,
S-36751,"Ralph Vaughan Williams, Heather Harper, Ian Partridge, John Shirley-Quirk, The King's College Choir Of Cambridge, The Bach Choir, London Symphony Orchestra, David Willcocks",Sancta Civitas / Benedicite,Angel Records,"LP, Album, RP",,0,4677896,Record Label Match,2024-09-19 20:58:59,,,,129,yes,
S-36763,"Ralph Vaughan Williams, Sir Adrian Boult, London Philharmonic Orchestra & London Philharmonic Choir With Norma Burrowes",Sinfonia Antartica ( Symphony No.7),Angel Records,"LP, Album",,1971,2540656,Record Label Match,2024-09-19 20:59:14,,,,129,yes,
S-36773,"Ralph Vaughan Williams - Sir Adrian Boult, London Symphony Orchestra",Job  A Masque For Dancing,Angel Records,LP,,0,7616898,Catalog Number Match,2024-09-19 20:59:46,,,,129,yes,
